id,first_name,last_name,position
666675,DaQuan,Jeffries,F
666676,Ty,Jerome,G
666679,Cameron,Johnson,F
666682,Keldon,Johnson,F
666692,Mfiondu,Kabengele,F
666697,Stanton,Kidd,F
666698,Louis,King,F
666702,Sagaba,Konate,F
666703,John,Konchar,G-F
666707,Christ,Koumadje,C
666708,David,Kramer,G
666713,Romeo,Langford,G
666714,Terry,Larrier,F
666716,Dedric,Lawson,F
666717,Vic,Law,F
666720,Jalen,Lecque,G
666726,Mathias,Lessort,F
666729,Nassir,Little,F
666743,Terance,Mann,G
666747,Caleb,Martin,F
666748,Cody,Martin,F
666750,Jeremiah,Martin,G
666751,Kelan,Martin,F
666754,Garrison,Mathews,G
666755,Dakota,Mathias,G
666757,Luke,Maye,F
666758,Tahjere,McCall,G
666762,Jalen,McDaniels,F
666767,Jordan,McLaughlin,G
666770,Nicolo,Melli,F
666775,Isaiah,Miles,F
666783,Adam,Mokoka,G
666786,Ja,Morant,G
666788,Juwan,Morgan,F
666794,Mychal,Mulder,G
666795,Jordan,Murphy,F
666808,Zach,Norvell Jr.,G
666809,Jaylen,Nowell,G
666818,Chuma,Okeke,F
666821,KZ,Okpala,F
666824,Miye,Oni,G
666827,Tariq,Owens,F
666828,James,Palmer Jr.,G
666831,Eric,Paschall,F
666837,Norvel,Pelle,F
666838,Josh,Perkins,F
666840,Lamar,Peters,G
666841,Isaiah,Pineiro,F
666846,Vincent,Poirier,C
666847,Shamorie,Ponds,G
666848,Jordan,Poole,G
666849,Kevin,Porter Jr.,G
666859,Josh,Reaves,G
666860,Cameron,Reddish,F-G
666871,Justin,Robinson,G
666873,Isaiah,Roby,F
666881,Luka,Samanic,F
666885,Admiral,Schofield,F
666891,Marial,Shayok,G
666892,Simisola,Shittu,F
666894,Chris,Silva,F
666897,Justin,Simon,G
666899,Deividas,Sirvydis,G
666900,Alen,Smailagic,F
666908,Max,Strus,G
666919,Matt,Thomas,G
666923,Matisse,Thybulle,G-F
666925,Juan,Toscano-Anderson,F
666930,Rayjon,Tucker,F
666940,Dean,Wade,F
666950,P.J.,Washington,F
666952,Tremont,Waters,G
666953,Quinndary,Weatherspoon,G
666956,Coby,White,G
666960,Lindell,Wigginton,G
666963,Nigel,Williams-Goss,G
666965,Grant,Williams,F
666969,Zion,Williamson,F
666971,Dylan,Windler,G-F
666973,Todd,Withers,F
666975,Kenny,Wooten,F
666976,Justin,Wright-Foreman,G
667302,Nicolo,Melli,F
667378,Naz,Reid,F-C
1280857,Kevin,Hervey,F
1358055,Anzejs,Pasecniks,C
1567838,Paul,Watson,G
1573276,Levi,Randolph,G
1603383,Gabe,Vincent,G
1687493,Matt,Mooney,G
